,text,label,word_count,char_length,tokenize_text
40,"Figure 1 is a capture from a book I wrote with some colleagues in 2008, “Cyber Fraud: Tactics, Techniques, and Procedures.”",TIME,21,123,figure capture book wrote colleague cyber fraud tactic technique procedure
41,It shows the price that a criminal enterprise called IFRAME DOLLARS was charging to infect computers in various countries at that time.,threat-actor,22,135,show price criminal enterprise called iframe dollar charging infect computer various country time
42,"Figure 1: Capture from Cyber Fraud: Tactics, Techniques, and Procedures showing prices of host infections by country.",safe,17,117,figure capture cyber fraud tactic technique procedure showing price host infection country
43,"In 2007, the infection of a system in Australia went for US$0.60, while an infection in Poland was only a fraction of the cost, at US$0.096.",location,26,140,infection system australia went u infection poland fraction cost u
44,The difference in price represented the difference in value: criminals were able to make more money through a Banking Trojan account takeover from an Australian infection than they could in Poland.,malware,31,197,difference price represented difference value criminal able make money banking trojan account takeover australian infection could poland
45,"As anti-fraud protections evolved, so did the criminals.",safe,8,56,antifraud protection evolved criminal
46,Fast forward five years to 2013 and the rise of the Ransomware business model,TIME,14,77,fast forward five year rise ransomware business model
47,This new way to generate profit had two major advantages over account takeovers:  ,safe,13,82,new way generate profit two major advantage account takeover
48,"Put another way, the ransomware model represented both increased efficiency and decreased risk in monetizing the infection.",safe,17,123,put another way ransomware model represented increased efficiency decreased risk monetizing infection
49,"Anyone who’s been paying attention to cybercrime since 2013 is aware of the ransomware surge, infecting systems throughout the world and plaguing networks’ administrators.",TIME,24,171,anyone who paying attention cybercrime since aware ransomware surge infecting system throughout world plaguing network administrator
50,"While only a tiny fraction (possibly 1 in 1000) of systems infected with a banking Trojan pay out for attackers, a much higher portion of ransomware victims pay to get their files back.",safe,33,185,tiny fraction possibly system infected banking trojan pay attacker much higher portion ransomware victim pay get file back
51,"While US$300 payments are less than a single account takeover could return, ransomware makes greater returns due to the volume and decreased risk in this new business model.",safe,28,173,u payment le single account takeover could return ransomware make greater return due volume decreased risk new business model
52,Cybercriminals have become good business people: they saw the benefits and embraced the change.,safe,14,95,cybercriminals become good business people saw benefit embraced change
53,Enter “The Bubble” – Where We Are Now,safe,8,37,enter bubble
54,"In the last two years, but particularly in the last six months, the price of bitcoin and other cryptocurrencies experienced a massive price surge with respect to the U.S. dollar and other fiat currencies.",safe,34,204,last two year particularly last six month price bitcoin cryptocurrencies experienced massive price surge respect u dollar fiat currency
55,"Here’s the chart for bitcoin over the last two years, showing a rise of 2,000% to 4,000% in the versus the U.S. dollar.",SOFTWARE,23,119,here chart bitcoin last two year showing rise versus u dollar
56,"Figure 2: Price of bitcoin in U.S. dollars from CoinMarketCap  While botnets mining cryptocurrency is nothing new, the technique was much less profitable than using ransomware.",SOFTWARE,26,176,figure price bitcoin u dollar coinmarketcap botnets mining cryptocurrency nothing new technique much le profitable using ransomware
57,"In fact, with the rise of specialized bitcoin mining hardware, no regular PC can make any significant amount of money for an attacker.",safe,23,134,fact rise specialized bitcoin mining hardware regular pc make significant amount money attacker
58,"However, there are many other “crypto coins” in the market today.",safe,11,65,however many crypto coin market today
59,The one we see mined most by attackers is called Monero.,SOFTWARE,11,56,one see mined attacker called monero
60,"In contrast to bitcoin, Monero was designed to enable private transactions using a closed ledger, and its mining algorithm is still mined effectively by both PC CPUs and GPUs.",SOFTWARE,29,175,contrast bitcoin monero designed enable private transaction using closed ledger mining algorithm still mined effectively pc cpu gpus
61,"As the chart below shows, Monero has risen even faster than bitcoin in price in the last two years, with more than a 30,000% gain in U.S. dollars.",TIME,28,146,chart show monero risen even faster bitcoin price last two year gain u dollar
62,Figure 3: Price of Monero in U.S. dollars from CoinMarketCap  ,SOFTWARE,10,62,figure price monero u dollar coinmarketcap
63,A normal PC used to mine Monero can earn around US$0.25 per day at the current prices.,SOFTWARE,17,86,normal pc used mine monero earn around u per day current price
64,"That number is small, but it’s important to note that it doesn’t matter what country or network a Monero miner is part of: computers in Australia and Poland mine at the same speed.",SOFTWARE,33,180,number small important note doesnt matter country network monero miner part computer australia poland mine speed
65,"Every infected system is a profit-generating resource when mining Monero, and users are much less likely to identify their infection and remove the mining program than they would be with ransomware.",SOFTWARE,31,198,every infected system profitgenerating resource mining monero user much le likely identify infection remove mining program would ransomware
66,"For context, in January, we found a Monero mining campaign that infected around 15 million systems, largely in the developing world.",SOFTWARE,21,132,context january found monero mining campaign infected around million system largely developing world
67,"If these systems remained infected for at least 24 hours each, the attackers could have earned well over 3 million U.S. dollars in Monero.",TIME,24,138,system remained infected least hour attacker could earned well million u dollar monero
68,"Additionally, the risk of arrest and conviction is significantly lower than with ransomware, as mining cryptocurrency is less likely to generate reports to law enforcement than a data-destroying ransomware infection.",safe,30,216,additionally risk arrest conviction significantly lower ransomware mining cryptocurrency le likely generate report law enforcement datadestroying ransomware infection
69, What’s Next?,safe,2,13,whats next
70,This wave of attacks will continue as long as it maintains a high level of profitability with a low level of risk for cybercriminals.,safe,24,133,wave attack continue long maintains high level profitability low level risk cybercriminals
71,"For defenders, it’s important to note that the techniques used to infect systems with coin mining malware are the same as they were for ransomware.",safe,25,147,defender important note technique used infect system coin mining malware ransomware
72,"Infections typically begin with emails carrying malicious macro documents, drive-by exploit kits targeting browsers, or direct attacks on servers running vulnerable software.",safe,22,174,infection typically begin email carrying malicious macro document driveby exploit kit targeting browser direct attack server running vulnerable software
73,"There is no single solution to stopping these attacks, but the same technologies and policies you use to prevent other malware infections will be effective.",attack-pattern,25,156,single solution stopping attack technology policy use prevent malware infection effective
74,"Across the changing landscape of botnet herders, Banking Trojans, ransomware and coin mining is one constant: the business-savvy drive to maximize profit and reduce risk.",safe,25,170,across changing landscape botnet herder banking trojan ransomware coin mining one constant businesssavvy drive maximize profit reduce risk
75,"Using these as our guide, we can make sense of where we are today, how we got here, and be prepared for what has yet to develop in the future.",safe,30,142,using guide make sense today got prepared yet develop future
76,Here are three things to watch for:,safe,7,35,three thing watch
77,1. A marked increase in the price of Monero or other cryptocurrencies will draw even more attackers into this business.,SOFTWARE,20,119,marked increase price monero cryptocurrencies draw even attacker business
78,"For many users, this could actually be a positive development, as the negative impact of having resources sapped from one’s computer is much less than paying a ransom or restoring your system from a backup due to ransomware.",safe,38,224,many user could actually positive development negative impact resource sapped one computer much le paying ransom restoring system backup due ransomware
79,"Conversely, a crash in the price of cryptocurrencies will decrease the profitability and drive criminals back to ransomware.",safe,18,124,conversely crash price cryptocurrencies decrease profitability drive criminal back ransomware
80,2. Listen to your fans or keep an eye on your CPU usage.,safe,13,56,listen fan keep eye cpu usage
81,Many users realize their system is infected with coin mining malware when their laptop fans kick into high-speed mode to keep the overtaxed CPU cool.,safe,25,149,many user realize system infected coin mining malware laptop fan kick highspeed mode keep overtaxed cpu cool
82,"Listening to fans won’t work at the enterprise scale, but implementing widespread CPU performance monitoring could be a good way to find compromised devices.",safe,24,157,listening fan wont work enterprise scale implementing widespread cpu performance monitoring could good way find compromised device
83,"This will also help you identify the coin mining “insider threat,” as misguided administrators may see their organizations’ unused CPU time as a way to generate personal income.",safe,28,177,also help identify coin mining insider threat misguided administrator may see organization unused cpu time way generate personal income
84,3. Criminals will find ways to target these attacks.,safe,9,52,criminal find way target attack
85,"Compromising a user’s browser or a regular home PC will net the criminal an average system for mining coins, but higher-end systems will generate more income.",attack-pattern,26,158,compromising user browser regular home pc net criminal average system mining coin higherend system generate income
86,Attackers will soon begin targeting devices with higher specifications to get more bang for their buck.,safe,16,103,attacker soon begin targeting device higher specification get bang buck
87,Gaming PCs with high-end GPUs and servers with large numbers of processing cores will be prime targets.,safe,17,103,gaming pc highend gpus server large number processing core prime target
89," Please mark, I'm not a robot!  By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.",safe,22,125,please mark im robot submitting form agree term use acknowledge privacy statement
90,It’s that time of year again – our researchers have analyzed and reviewed the threats and attacks that occurred during the first half of 2021.,TIME,25,142,time year researcher analyzed reviewed threat attack occurred first half
91,"Our report, Attacks From All Angles: 2021 Midyear Security Roundup, highlights many of the active attacks we saw, from APTs to ransomware to zero-day exploits.",TIME,25,159,report attack angle midyear security roundup highlight many active attack saw apts ransomware zeroday exploit
92,I’d like to highlight an area where we are seeing increased activity: attacks against cloud infrastructures.,safe,16,108,id like highlight area seeing increased activity attack cloud infrastructure
93,"I’ve spoken on this at a few events and asked my audiences how many have active cloud infrastructure projects going on, the answer is always most of them.",safe,28,154,ive spoken event asked audience many active cloud infrastructure project going answer always
94,"In our 1H’ 2021 Cyber Risk Index, we asked organizations what their top infrastructure risks are.",identity,16,97,h cyber risk index asked organization top infrastructure risk
95,Cloud security has been in the top two for the last few years.,safe,13,62,cloud security top two last year
96,"Obviously, many organizations are moving quickly to the cloud and, as such, need to be thinking about how to secure it.",safe,21,119,obviously many organization moving quickly cloud need thinking secure
97,Below is an overview of what we’re seeing in cloud attacks.,safe,11,59,overview seeing cloud attack
98,            Threats Impacting Cloud Environments,safe,4,48,threat impacting cloud environment
99,"In our first half report, we highlight an APT group named TeamTNT that has been targeting clouds for quite a while now.",threat-actor,22,119,first half report highlight apt group named teamtnt targeting cloud quite
100,"They have focused most of their efforts on planting crypto-mining malware on cloud servers in an effort to mine Monero coins, but we have also seen them utilize DDoS IRC bots, steal cloud account credentials, and exfil data.",SOFTWARE,38,224,focused effort planting cryptomining malware cloud server effort mine monero coin also seen utilize ddos irc bot steal cloud account credential exfil data
101,"As you can see from the above diagram, all of these are end goals for most attacks.",safe,17,83,see diagram end goal attack
102,"Speaking of data exfil, in the first half we saw APT actors utilize cloud-based file storage to exfiltrate their stolen data.",safe,21,125,speaking data exfil first half saw apt actor utilize cloudbased file storage exfiltrate stolen data
103,"For example, we found that Conti operators use the cloud storage synchronization tool Rclone to upload files to the Mega cloud storage service.",malware,23,143,example found conti operator use cloud storage synchronization tool rclone upload file mega cloud storage service
104,"Similarly, DarkSide operators used Mega client for exfiltrating files to cloud storage, 7-Zip for archiving, and PuTTY application for network file transfers.",threat-actor,22,158,similarly darkside operator used mega client exfiltrating file cloud storage zip archiving putty application network file transfer
105,"This use of known, legitimate tools is not new; we call that “living off the land” and have seen this tactic pick up recently, including usage by ransomware actors.",tools,29,164,use known legitimate tool new call living land seen tactic pick recently including usage ransomware actor
106,Many organizations now need to look at ways of monitoring legitimate tools usage within their networks to identify any malicious uses.,safe,21,134,many organization need look way monitoring legitimate tool usage within network identify malicious us
107,Cloud Security Architecture,safe,3,27,cloud security architecture
108,"When developing your cloud security architecture and strategy, it is important to always keep the ends in mind.",safe,18,111,developing cloud security architecture strategy important always keep end mind
109,"In this case, what are the motivation and end goals of an attacker?",safe,13,67,case motivation end goal attacker
110,"As you see in the image above, most cloud attacks are going to fall into one of these areas.",safe,19,92,see image cloud attack going fall one area
111,"Depending on what you are doing as part of your cloud infrastructure, you should be able to identify if any or all of these end goals could be targeted in your environment.",safe,32,172,depending part cloud infrastructure able identify end goal could targeted environment
112,"From there, you can work backwards to develop your strategy for protecting those initial access areas tied to the different attacks.",safe,21,132,work backwards develop strategy protecting initial access area tied different attack
113,"A challenge many organizations face is that the cloud isn’t simple, and many of the technologies that make up the cloud are new, with new features being deployed all the time.",safe,31,175,challenge many organization face cloud isnt simple many technology make cloud new new feature deployed time
114,Understanding how these work and – more importantly – how to secure them can be very difficult.,safe,17,95,understanding work importantly secure difficult
115,"Utilizing a security platform approach can help build your cloud to be more secure, but educating your architects and administrators will also help.",safe,23,148,utilizing security platform approach help build cloud secure educating architect administrator also help
116,"One key area is hardening your cloud account credentials, as these will be regularly targeted by malicious actors.",safe,18,114,one key area hardening cloud account credential regularly targeted malicious actor
117,Using multi-factor authentication to access all accounts can minimize this risk tremendously.,safe,12,93,using multifactor authentication access account minimize risk tremendously
118,"Take a look at Trend Micro Cloud One, part of our complete cybersecurity platform, to learn more.",SOFTWARE,17,97,take look trend micro cloud one part complete cybersecurity platform learn
119,The cloud is only one aspect of our full 1H 2021 report.,TIME,12,56,cloud one aspect full h report
120,"To get more details on all the different threats and attacks we observed, download and read the full report here.",safe,20,113,get detail different threat attack observed download read full report
121,"      Tags  Cloud | Cyber Crime | Expert Perspective | Cyber Threats | APT & Targeted Attacks | Network | Articles, News, Reports",safe,22,129,tag cloud cyber crime expert perspective cyber threat apt targeted attack network article news report
122,Cybercriminals have embraced the anonymous nature of cryptocurrency as a new preferred method of profit.,safe,15,104,cybercriminals embraced anonymous nature cryptocurrency new preferred method profit
123,Unit 42 released details about attackers hijacking web browsers to mine for compute resources and exchange for cryptocurrency.,identity,18,126,unit released detail attacker hijacking web browser mine compute resource exchange cryptocurrency
124,"With the increasing value of cryptocurrency, such as bitcoin and Ethereum, and a better business model with higher returns than malware- and exploit-type attacks, it’s no surprise these types of attacks are becoming more commonplace.",SOFTWARE,35,233,increasing value cryptocurrency bitcoin ethereum better business model higher return malware exploittype attack surprise type attack becoming commonplace
125, Cybercriminals will compromise a website and abuse a legitimate tool on that site to gain access to the compute resources of site visitors’ systems.,attack-pattern,24,149,cybercriminals compromise website abuse legitimate tool site gain access compute resource site visitor system
126,"Using this access, attackers will essentially steal compute resources and exchange them for cryptocurrency credit.",attack-pattern,15,114,using access attacker essentially steal compute resource exchange cryptocurrency credit
127,This all occurs without the users’ consent or knowledge throughout the duration of their site visits.,safe,16,101,occurs without user consent knowledge throughout duration site visit
128," The malicious activity itself doesn’t cause long-term damage to systems, and ends as soon as users leave the malicious or compromised site.",safe,22,140,malicious activity doesnt cause longterm damage system end soon user leave malicious compromised site
129,"Additionally, the site will still provide users with its normal, intended functionality.",safe,12,88,additionally site still provide user normal intended functionality
130,"However, users likely experience a noticeable slowdown in system performance.",safe,10,77,however user likely experience noticeable slowdown system performance
131," If you believe your system is being affected by this type of attack, leaving the site or closing your browser will, in most cases, end the attack.",safe,27,147,believe system affected type attack leaving site closing browser case end attack
132,"Additionally, you should practice good cybersecurity hygiene.",safe,7,61,additionally practice good cybersecurity hygiene
133,"This means avoiding unfamiliar websites, clicking on links or downloading attachments from unknown email senders, keeping products updated with the latest security patches, enabling multi-factor authentication, and using reputable security products.",safe,31,249,mean avoiding unfamiliar website clicking link downloading attachment unknown email sender keeping product updated latest security patch enabling multifactor authentication using reputable security product
134," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!  Please mark, I'm not a robot!  ",safe,25,150,sign receive latest news cyber threat intelligence research u please enter email address please mark im robot
136,This post is also available in:      日本語 (Japanese)  ,safe,8,53,
137,"In our updated report on ransomware from Unit 42, “Ransomware: Unlocking the Lucrative Criminal Business Model,” Unit 42 researcher Bryan Lee notes: “In 2016, it was thought that there were less than one hundred active ransomware variants out in the wild.",identity,41,255,updated report ransomware unit ransomware unlocking lucrative criminal business model unit researcher bryan lee note thought le one hundred active ransomware variant wild
138,"Today, the number of total ransomware variants at least over 150, if not hundreds more.”  It’s reasonable to ask why ransomware continues not only to exist but to thrive.",safe,29,170,today number total ransomware variant least hundred reasonable ask ransomware continues exist thrive
139,"The first answer to this, as we’ve outlined in our report, is that ransomware is a lucrative cybercriminal business model.",safe,20,122,first answer weve outlined report ransomware lucrative cybercriminal business model
140,"However, in addition to the human factor, there are technical reasons.",safe,11,70,however addition human factor technical reason
141,"Specifically, there are three things that combine to make ransomware a particularly potent threat on the technical level:",safe,18,121,specifically three thing combine make ransomware particularly potent threat technical level
142," In some ways, these three points state the obvious.",safe,9,52,way three point state obvious
143,But the full ramifications and why these make ransomware hard to stop aren’t always discussed.,safe,15,94,full ramification make ransomware hard stop arent always discussed
144," The way ransomware works is well documented, but let’s recap here.",safe,11,67,way ransomware work well documented let recap
145,Ransomware is downloaded to a user’s system and executed on it.,safe,11,63,ransomware downloaded user system executed
146,"The way the attackers get the ransomware on the system varies: it can be through unpatched vulnerabilities, social engineering or both.",safe,21,135,way attacker get ransomware system varies unpatched vulnerability social engineering
147,The most common way ransomware operators levy attacks is through email or by web browsing to malicious or compromised sites.,attack-pattern,20,124,common way ransomware operator levy attack email web browsing malicious compromised site
148,The overwhelming majority of ransomware attacks are against Microsoft Windows systems.,SOFTWARE,11,86,overwhelming majority ransomware attack microsoft window system
149,"Once malware is running on the user’s system, it seeks out and encrypts files and folders that hold information critical for the user, such as documents, business applications or even database files.",safe,32,199,malware running user system seek encrypts file folder hold information critical user document business application even database file
150,"In some cases, the ransomware is sophisticated enough to target specific application files.",safe,13,91,case ransomware sophisticated enough target specific application file
151,"Most importantly, because the ransomware is executing with the compromised user’s privileges, any file the legitimate, now-compromised user has access to, including network shares and backups, is fair game for the ransomware.",attack-pattern,32,225,importantly ransomware executing compromised user privilege file legitimate nowcompromised user access including network share backup fair game ransomware
152, It’s this last point that gets to the heart of why ransomware is so potent.,safe,15,76,last point get heart ransomware potent
153,"From an operating system point of view, the ransomware IS the user.",safe,12,67,operating system point view ransomware user
154,"Even though Microsoft Windows today features a robust user access control system, that system has inherent limitations.",SOFTWARE,17,119,even though microsoft window today feature robust user access control system system inherent limitation
155,"In the early days of Window Vista, Microsoft enabled aggressive security checking to ensure user-initiated actions were legitimate.",SOFTWARE,18,131,early day window vista microsoft enabled aggressive security checking ensure userinitiated action legitimate
156,"This was well-intentioned but ultimately backfired: users got fed up clicking “Are you sure?” dialog boxes and quickly disabled the feature, or just mindlessly clicked “OK” every time they saw it.",safe,31,196,wellintentioned ultimately backfired user got fed clicking sure dialog box quickly disabled feature mindlessly clicked ok every time saw
157,Microsoft made reasonable adjustments so that these alerts are now raised sparingly.,identity,12,84,microsoft made reasonable adjustment alert raised sparingly
158,"Although that feature was never enabled to protect user data files like ransomware targets, there is a clear lesson from the experience: too many security checks on user activity fails in the end.",safe,33,196,although feature never enabled protect user data file like ransomware target clear lesson experience many security check user activity fails end
159," Bringing that lesson to bear here, the only way the operating system could protect against ransomware would be to raise “Are you sure?” dialog boxes on everyday operations against the kinds of files that ransomware targets.",safe,36,224,bringing lesson bear way operating system could protect ransomware would raise sure dialog box everyday operation kind file ransomware target
160, And this is where the second point comes to bear.,safe,10,50,second point come bear
161," Unlike other forms of malware, ransomware is very specific in its targeting.",safe,12,77,unlike form malware ransomware specific targeting
162,It goes after the files users are most likely to care about.,safe,12,60,go file user likely care
163,These also happen to be files users are most likely to use on a day-to-day basis or that are critical to an organization’s operations.,safe,24,134,also happen file user likely use daytoday basis critical organization operation
164,Extra layers of protection for those files would be incredibly onerous.,safe,11,71,extra layer protection file would incredibly onerous
165,Imagine having to click through “Are you sure?” dialog boxes for every document or picture you opened in a day.,safe,20,111,imagine click sure dialog box every document picture opened day
166," From an engineering point of view, this sole, specific targeting of files that matter significantly increases the chances of ransomware’s success.",safe,21,147,engineering point view sole specific targeting file matter significantly increase chance ransomwares success
167,This brings us to the third point: there is little attack time wasted on files that don’t matter to the victim.,safe,21,111,brings u third point little attack time wasted file dont matter victim
168,Even a successful ransomware attack that is halted early by security software will achieve some level of damage – enough to make the victim consider paying the ransom to get the files back.,safe,33,189,even successful ransomware attack halted early security software achieve level damage enough make victim consider paying ransom get file back
169,"If user32.dll were encrypted and unusable, it would be a problem.",FILEPATH,11,65,userdll encrypted unusable would problem
170,"But when your organization’s overall accounting and audit report is inaccessible right before the big deadline, that’s catastrophic.",safe,18,132,organization overall accounting audit report inaccessible right big deadline thats catastrophic
171, The net of these three points is that ransomware is a threat such that focus needs to be placed solely around prevention.,safe,22,122,net three point ransomware threat focus need placed solely around prevention
172,"There is no effective solution for ransomware at the operating system level, as outlined above.",safe,15,95,effective solution ransomware operating system level outlined
173,"And unlike other attacks, ransomware attacks can’t succeed “just a little.”",safe,11,75,unlike attack ransomware attack cant succeed little
174,"In some cases, a single file lost is more than enough to count as a fully successful attack.",safe,18,92,case single file lost enough count fully successful attack
175," In some ways, ransomware is a threat unlike any other.",safe,10,55,way ransomware threat unlike
176,Its impact and scope are both broad and deep in ways that are unique.,safe,14,69,impact scope broad deep way unique
177,"Because of that, from a risk assessment point of view, ransomware needs to be put in a class by itself – a class that acknowledges that the risks from a successful attack of any kind are very high.",safe,38,197,risk assessment point view ransomware need put class class acknowledges risk successful attack kind high
182,"Over the past several weeks, Russia-Ukraine cyber activity has escalated substantially.",safe,11,87,past several week russiaukraine cyber activity escalated substantially
183,"Beginning on Feb. 15, a series of distributed denial of service (DDoS) attacks commenced.",TIME,14,89,beginning feb series distributed denial service ddos attack commenced
184,"These attacks have continued over the past week, impacting both the Ukrainian government and banking institutions.",identity,16,114,attack continued past week impacting ukrainian government banking institution
185,"On Feb. 23, a new variant of wiper malware named HermeticWiper was discovered in Ukraine.",malware,15,89,feb new variant wiper malware named hermeticwiper discovered ukraine
186,"Shortly after, a new round of website defacement attacks were also observed impacting Ukrainian government organizations.",identity,16,121,shortly new round website defacement attack also observed impacting ukrainian government organization
187," Consistent with our previous reporting on the topic, several western governments have issued recommendations for their populations to prepare for cyberattacks that could disrupt, disable or destroy critical infrastructure.",identity,29,223,consistent previous reporting topic several western government issued recommendation population prepare cyberattacks could disrupt disable destroy critical infrastructure
188,"We have already observed an increase in Russian cyber activity, which we reported on in our initial Threat Brief published last month and our recent report on the Gamaredon group.",threat-actor,30,179,already observed increase russian cyber activity reported initial threat brief published last month recent report gamaredon group
189,Future attacks may target U.S. and Western European organizations in retaliation for increased sanctions or other political measures against the Russian government.,location,22,164,future attack may target u western european organization retaliation increased sanction political measure russian government
